"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.729708859E2,6.500017048E1,2.559405035E1,2.889020451E1,1.313798547E0,6.155378723E1,6.121561050E0,0.000000000E0
1.739754927E2,6.500017540E1,2.559407639E1,2.889996930E1,1.364376903E0,6.168485260E1,5.787704468E0,0.000000000E0
1.749779922E2,6.500018070E1,2.559410377E1,2.882060341E1,1.410011411E0,6.214763641E1,5.507989407E0,0.000000000E0
1.759885047E2,6.500018611E1,2.559413251E1,2.903198210E1,1.443537593E0,6.230662537E1,5.498273373E0,0.000000000E0
1.769765734E2,6.500018929E1,2.559415997E1,2.901991187E1,1.239103079E0,7.107556152E1,5.521036148E0,0.000000000E0
1.779905099E2,6.500019239E1,2.559418965E1,2.892408589E1,1.319087982E0,7.352224731E1,5.148109436E0,0.000000000E0
1.789872052E2,6.500019605E1,2.559422053E1,2.901023210E1,1.375900149E0,7.168777466E1,5.132096291E0,0.000000000E0
1.799874677E2,6.500019400E1,2.559425312E1,2.913105148E1,1.419221997E0,1.022538300E2,5.121724129E0,0.000000000E0
1.809755203E2,6.500019872E1,2.559428502E1,2.928530869E1,1.445431352E0,6.874758911E1,5.092006207E0,0.000000000E0
1.819728021E2,6.500020334E1,2.559431703E1,2.937956073E1,1.462075472E0,7.032504272E1,6.862938881E0,0.000000000E0
1.829881521E2,6.500020748E1,2.559434942E1,2.952669981E1,1.474550128E0,7.244686890E1,5.777763367E0,0.000000000E0
1.839746901E2,6.500021145E1,2.559438189E1,2.961633237E1,1.481912851E0,7.269406891E1,6.876039505E0,0.000000000E0
1.849919422E2,6.500021532E1,2.559441422E1,2.984151262E1,1.486218929E0,7.298161316E1,6.056230545E0,0.000000000E0
1.859884995E2,6.500021919E1,2.559444609E1,2.998489818E1,1.487805843E0,7.274621582E1,8.560853958E0,0.000000000E0
1.869753661E2,6.500022245E1,2.559447756E1,3.008895826E1,1.475056052E0,7.467282867E1,7.126205444E0,0.000000000E0
1.879837120E2,6.500022641E1,2.559450815E1,2.993899755E1,1.479369879E0,7.004132080E1,6.961060524E0,0.000000000E0
1.889956588E2,6.500022972E1,2.559453931E1,2.979429361E1,1.492901444E0,7.320442963E1,6.576979160E0,0.000000000E0
1.899751291E2,6.500023312E1,2.559457023E1,2.971183027E1,1.487280846E0,7.252116394E1,6.563882351E0,0.000000000E0
1.909926307E2,6.500023597E1,2.559459707E1,2.960879495E1,1.263805509E0,7.262699127E1,5.641519547E0,0.000000000E0
1.919893255E2,6.500023835E1,2.559462151E1,2.963850007E1,1.105342984E0,7.348298645E1,6.497337818E0,0.000000000E0
1.929749531E2,6.500024147E1,2.559464878E1,2.973606046E1,1.221199036E0,7.137769318E1,5.295191765E0,0.000000000E0
1.939760906E2,6.500024444E1,2.559467932E1,2.990284580E1,1.312647820E0,7.471994781E1,5.267584324E0,0.000000000E0
1.949808052E2,6.500024883E1,2.559471070E1,2.970005514E1,1.374091983E0,6.847221375E1,6.691068649E0,0.000000000E0
1.959723005E2,6.500025235E1,2.559474395E1,2.957206688E1,1.415928841E0,7.341472626E1,5.242452621E0,0.000000000E0
1.969804817E2,6.500025547E1,2.559477781E1,2.944919417E1,1.445569396E0,7.560772705E1,5.233676910E0,0.000000000E0
1.979844958E2,6.500025923E1,2.559481122E1,2.927975150E1,1.464544773E0,7.325508118E1,5.217976570E0,0.000000000E0
1.989735880E2,6.500026305E1,2.559484435E1,2.924240039E1,1.475171328E0,7.495545959E1,5.185046196E0,0.000000000E0
1.999860385E2,6.500026797E1,2.559487612E1,2.917306289E1,1.481456041E0,7.042766571E1,5.524557114E0,0.000000000E0
2.009951286E2,6.500027156E1,2.559490847E1,2.916937283E1,1.485041738E0,7.745909882E1,5.156458378E0,0.000000000E0
2.019936291E2,6.500027238E1,2.559494134E1,2.911892672E1,1.482257962E0,9.151876068E1,5.062219620E0,0.000000000E0
2.029765093E2,6.500027532E1,2.559497378E1,2.911989838E1,1.480471611E0,8.165732574E1,4.699999809E0,0.000000000E0
2.039871635E2,6.500027955E1,2.559500539E1,2.910136906E1,1.489862680E0,7.566006470E1,4.699999809E0,0.000000000E0
2.049743588E2,6.500028386E1,2.559503665E1,2.920632532E1,1.495388150E0,7.504467010E1,4.699999809E0,0.000000000E0
2.059843031E2,6.500028872E1,2.559506733E1,2.935967475E1,1.492933512E0,7.174121857E1,4.699999809E0,0.000000000E0
2.070150036E2,6.500029362E1,2.559509766E1,2.936557091E1,1.492410541E0,7.115411377E1,4.699999809E0,0.000000000E0
2.079840729E2,6.500029823E1,2.559512758E1,2.941098746E1,1.489785433E0,7.238932800E1,4.699999809E0,0.000000000E0
2.089754781E2,6.500030256E1,2.559515717E1,2.957284777E1,1.488212228E0,7.341329193E1,5.097642422E0,0.000000000E0
2.099906901E2,6.500030670E1,2.559518679E1,2.987515765E1,1.489801645E0,7.369923401E1,5.093498707E0,0.000000000E0
